key,nickname
1123,AIM ⛟ Robotics
1124,UberBots
1126,SPARX
1138,Eagle Engineering
1143,Cruzin' Comets
1148,Harvard Westlake Robotics
1153,Timberwolves
1155,SciBorgs
1156,Under Control
1159,Ramona Rampage
1160,Titanium Robotics
1164,Project NEO
1165,Team Paradise
1168,Malvern Robotics
1178,DURT  (De Smet Ultimate Robotics Team)
1188,Ravens
1189,The Gearheads
1197,TorBots
1208,Metool Brigade
1209,Robo Hornets
1212,Sentinels
1218,SCH Robotics
1225,The Gorillas
1241,THEORY6
1246,Agincourt Skunkworks
1247,"Blood, Sweat, and Gears"
1250,Gator-Bots
1255,Blarglefish
1257,Parallel Universe
1259,Paradigm Shift
1261,Robo Lions
1262,the STAGS
1266,The Devil Duckies
1277,The Robotomies
1279,Cold Fusion
1280,Ragin' C-Biscuits
1285,The Big Bang
1287,Aluminum Assault
1288,RAVEN Robotics
1293,Pandamaniacs
1294,Pack of Parts
1296,Full Metal Jackets
1303,WYOHAZARD
1305,Ice Cubed
1306,BadgerBOTS
1307,Robosaints
1308,Saint Ignatius Robotics Team 1308
1310,Runnymede Robotics
1311,Kell Robotics
1317,Digital Fusion
1318,Issaquah Robotics Society
1319,Flash
1322,Genesee Robotics Area Youth Team (GRAYT)
1323,MadTown Robotics
1325,Inverse Paradox
1329,ViPrs
1332,SWIFT
1334,Red Devils
1339,AngelBotics
1350,The Rambots
1351,TKO
1359,Scalawags
1360,Orbit Robotics
1369,Minotaur
1374,Amped Up
1388,Eagle Robotics
1389,The Body Electric
1391,The Metal Moose
1403,Team 1403 Cougar Robotics
1405,Finney Falcons
1410,The Kraken
1414,IHOT
1418,Vae Victis
1421,Team CHAOS
1422,The Neon Knights
1425,Error Code Xero
1432,Metal Beavers
1446,Robo Knights
1450,XQ Robotix
1452,Omnicats
1458,Red Tie Robotics
1466,Webb Robotics
1468,Hicksville J-Birds
1474,Titans
1477,Texas Torque
1481,The Riveters
1493,Falcons
1501,Team THRUST
1502,Technical Difficulties
1504,Desperate Penguins
1506,Metal Muscle
1507,Warlocks
1511,Rolling Thunder
1512,The Big Red
1515,MorTorq
1518,Raider Robotics
1522,DOTM - Defenders of the Multiverse  : Hanover High School
1523,MARS (Mega Awesome Robotic Systems)
1528,MTR (Monroe Trojan Robotics)
1533,Triple Strange
1538,The Holy Cows
1539,Clover Eagle Robotics
1540,Flaming Chickens
1546,"Chaos, Inc."
1551,The Grapes of Wrath
1554,Oceanside Robotics
1555,Cryofrost
1557,12 Volt Bolt
1559,Devil Tech
1561,ROBODUCKS
1566,AMMOKNIGHTS
1569,Haywire Robotics
1572,The Hammer Heads
1574,MisCar
1576,Voltrix
1577,Steampunk
1580,The Blue Monkeys
1585,Scitobor Robotics
1591,Greece Gladiators
1592,Bionic Tigers
1595,The Dragons
1596,The Instigators
1598,TeamTalon 1598
1599,CircuiTree
1601,Quantum Samurai
1610,⛴ Blackwater Robotics ⛴
1619,Up-A-Creek Robotics
1622,Team Spyder
1625,Winnovation
1626,Falcon Robotics
1629,Garrett Coalition (GaCo)
1640,Sab-BOT-age
1646,Precision Guessworks
1647,Iron Devils
1648,G3 Robotics
1657,Hamosad
1661,Griffitrons
1662,Raptor Force Engineering
1671,Buchanan Bird Brains
1672,Robo-T-Birds
1675,UPS (Ultimate Protection Squad)
1676,The Pascack PI-oneers
1678,Citrus Circuits
1683,Techno Titans
1684,The Chimeras
1690,Orbit
1699,Robocats
1700,Gatorbotics
1701,RoboCubs
1706,Ratchet Rockers
1708,AMP'D Robotics
1710,The Ravonics Revolution
1711,RAPTORS
